Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Danny Jansen,TOR,86,301,17,38,53,0,7.60%,20.60%,0.246,0.233,0.228,0.312,0.474,0.336,0.317,116,0.8,6.4,3.4,2
Ryan Noda,OAK,128,495,16,63,54,3,15.60%,34.30%,0.177,0.347,0.229,0.364,0.406,0.342,0.334,123,-0.3,13.1,-10,2
Luis Rengifo,LAA,126,445,16,55,51,6,9.20%,18.40%,0.18,0.293,0.264,0.339,0.444,0.339,0.323,114,0.1,7.6,-3.3,1.9
Maikel Garcia,KCR,123,515,4,59,50,23,7.40%,22.30%,0.086,0.344,0.272,0.323,0.358,0.299,0.318,84,-0.8,-10.7,12.5,1.9
Connor Joe,PIT,133,472,11,63,42,3,10.60%,23.30%,0.174,0.311,0.247,0.339,0.421,0.332,0.328,107,0.6,4.5,-1.5,1.9
Matt Wallner,MIN,76,254,14,42,41,2,11.00%,31.50%,0.258,0.328,0.249,0.37,0.507,0.377,0.376,144,1.6,14.8,-4.5,1.9
Anthony Volpe,NYY,159,601,21,62,60,24,8.70%,27.80%,0.174,0.259,0.209,0.283,0.383,0.29,0.307,84,3.5,-7.8,6.2,1.9
Chris Taylor,LAD,117,384,15,51,56,16,10.70%,32.60%,0.183,0.327,0.237,0.326,0.42,0.323,0.314,104,3.3,5.4,0.3,1.9
Jorge Soler,MIA,137,580,36,77,75,1,11.40%,24.30%,0.262,0.272,0.25,0.341,0.512,0.361,0.376,126,-3.7,15.3,-16.4,1.9
Adam Duvall,BOS,92,353,21,45,58,4,6.20%,31.20%,0.284,0.299,0.247,0.303,0.531,0.347,0.306,116,3,9.7,-3,1.9
Jazz Chisholm Jr.,MIA,97,383,19,50,51,22,6.80%,30.80%,0.207,0.318,0.25,0.304,0.457,0.325,0.309,103,3.8,5.1,0.5,1.9
Mauricio Dubón,HOU,132,492,10,76,46,7,3.90%,14.20%,0.133,0.308,0.278,0.309,0.411,0.311,0.302,97,0.1,-1.6,3.5,1.9
Tommy Pham,2 Tms,129,481,16,55,68,22,9.80%,22.00%,0.19,0.3,0.256,0.328,0.446,0.332,0.361,110,3.1,9.2,-7.5,1.8
Harold Ramírez,TBR,122,434,12,58,68,5,5.10%,18.20%,0.148,0.359,0.313,0.353,0.46,0.349,0.319,128,1.5,16,-12.8,1.8
Cedric Mullins,BAL,116,455,15,51,74,19,9.50%,22.20%,0.183,0.271,0.233,0.305,0.416,0.311,0.288,99,3.3,2.6,-0.1,1.8
Mike Yastrzemski,SFG,106,381,15,54,43,2,11.80%,26.00%,0.212,0.286,0.233,0.33,0.445,0.333,0.326,112,0.2,5.9,-1.1,1.8
Mike Tauchman,CHC,108,401,8,64,48,7,14.00%,21.40%,0.125,0.313,0.252,0.363,0.377,0.33,0.345,107,2.3,5.9,-1.9,1.8
Teoscar Hernández,SEA,160,678,26,70,93,7,5.60%,31.10%,0.178,0.342,0.258,0.305,0.435,0.317,0.336,105,-2.9,0.9,-6.4,1.8
Triston Casas,BOS,132,502,24,66,65,0,13.90%,25.10%,0.226,0.317,0.263,0.367,0.49,0.367,0.371,129,-2.1,15.6,-15.1,1.7
Jared Triolo,PIT,54,209,3,30,21,6,11.50%,30.10%,0.099,0.44,0.298,0.388,0.398,0.35,0.323,118,1.8,6.6,3.8,1.7
Gary Sánchez,2 Tms,75,267,19,33,47,0,7.90%,25.10%,0.275,0.212,0.217,0.288,0.492,0.329,0.342,111,-2.1,1.6,6.6,1.7
Elly De La Cruz,CIN,98,427,13,67,44,35,8.20%,33.70%,0.175,0.336,0.235,0.3,0.41,0.305,0.302,84,5,-3.3,5.9,1.7
Will Benson,CIN,108,329,11,51,31,19,12.20%,31.30%,0.223,0.391,0.275,0.365,0.498,0.369,0.323,128,1.9,13.1,-7.3,1.7
Kyle Higashioka,NYY,92,260,10,24,34,0,5.40%,28.50%,0.178,0.292,0.236,0.274,0.413,0.293,0.307,86,-1.1,-5.3,13.4,1.7
Michael A. Taylor,MIN,129,388,21,48,51,13,6.70%,33.50%,0.223,0.278,0.22,0.278,0.442,0.308,0.311,96,2.3,0.2,3.4,1.7
Gabriel Moreno,ARI,111,380,7,33,50,6,7.60%,19.70%,0.123,0.338,0.284,0.339,0.408,0.325,0.314,103,-7.7,-6.5,10.4,1.7
Jake Meyers,HOU,112,341,10,42,33,5,7.60%,25.80%,0.155,0.283,0.227,0.296,0.382,0.297,0.285,88,2.5,-2.6,7.8,1.7
Carlos Santana,2 Tms,146,619,23,78,86,6,10.50%,16.80%,0.189,0.255,0.24,0.318,0.429,0.323,0.306,101,2.2,2.9,-7.3,1.7
Trent Grisham,SDP,153,555,13,67,50,15,13.50%,27.70%,0.154,0.264,0.198,0.315,0.352,0.299,0.326,91,4,-2.4,0.1,1.7
Ryan Mountcastle,BAL,115,470,18,64,68,3,7.90%,22.80%,0.182,0.315,0.27,0.328,0.452,0.333,0.357,114,0.9,9,-8.4,1.7
Kyle Farmer,MIN,120,369,11,49,46,2,6.20%,23.30%,0.152,0.311,0.256,0.317,0.408,0.316,0.312,101,0.5,1,3,1.6
Alejandro Kirk,TOR,123,422,8,34,43,0,10.00%,10.70%,0.108,0.265,0.25,0.334,0.358,0.308,0.317,96,-10.3,-12.3,14.4,1.6
Ezequiel Tovar,COL,153,615,15,79,73,11,4.10%,27.00%,0.155,0.328,0.253,0.287,0.408,0.298,0.29,70,-0.6,-23.3,18.5,1.6
Andy Ibáñez,DET,114,383,11,42,41,1,6.30%,18.00%,0.169,0.3,0.264,0.312,0.433,0.32,0.33,103,-0.2,1.1,1.7,1.6
Mark Canha,2 Tms,139,507,11,51,62,11,9.70%,15.60%,0.138,0.293,0.262,0.355,0.4,0.333,0.322,111,0.9,7.7,-9.3,1.6
Whit Merrifield,TOR,145,592,11,66,67,26,6.10%,17.10%,0.11,0.313,0.272,0.318,0.382,0.304,0.274,93,1,-3.8,-0.8,1.5
Mickey Moniak,LAA,85,323,14,35,45,6,2.80%,35.00%,0.215,0.397,0.28,0.307,0.495,0.339,0.309,114,0,5.4,-0.9,1.5
Jorge Polanco,MIN,80,343,14,38,48,4,10.50%,25.70%,0.199,0.31,0.255,0.335,0.454,0.34,0.351,118,1.7,9.1,-5.5,1.5
Taylor Ward,LAA,97,409,14,60,47,4,9.50%,19.60%,0.169,0.284,0.253,0.335,0.421,0.329,0.338,107,-1.1,2.5,-1.1,1.5
Freddy Fermin,KCR,70,235,9,26,32,0,5.50%,21.30%,0.18,0.323,0.281,0.321,0.461,0.333,0.332,108,-2.2,0,7.1,1.5
J.T. Realmuto,PHI,135,540,20,70,63,16,6.50%,25.60%,0.2,0.307,0.252,0.31,0.452,0.324,0.336,102,-1.5,-0.3,-3.4,1.5
Jake Fraley,CIN,111,380,15,41,65,21,9.70%,18.70%,0.188,0.283,0.256,0.339,0.443,0.338,0.328,107,1.9,5.1,-3.5,1.4
Sal Frelick,MIL,57,223,3,29,24,7,12.60%,16.60%,0.105,0.286,0.246,0.341,0.351,0.309,0.298,92,3.6,1.5,5.4,1.4
Kyle Schwarber,PHI,160,720,47,108,104,0,17.50%,29.90%,0.277,0.209,0.197,0.343,0.474,0.35,0.365,119,-0.8,16.4,-26.5,1.4
Ryan O'Hearn,BAL,112,368,14,48,60,5,4.10%,22.30%,0.191,0.34,0.289,0.322,0.48,0.339,0.326,118,-0.4,7.7,-5.8,1.4
Christopher Morel,CHC,107,429,26,62,70,6,8.40%,31.00%,0.26,0.303,0.247,0.313,0.508,0.347,0.346,119,2.3,12.3,-12.9,1.4
Spencer Torkelson,DET,159,684,31,88,94,3,9.80%,25.00%,0.213,0.269,0.233,0.313,0.446,0.326,0.349,107,0.7,6,-15.3,1.4
Johan Rojas,PHI,59,164,2,24,23,14,3.00%,25.60%,0.128,0.41,0.302,0.342,0.43,0.335,0.268,109,2.7,4.6,3.7,1.4
Eddie Rosario,ATL,142,516,21,64,74,3,6.60%,23.60%,0.195,0.3,0.255,0.305,0.45,0.322,0.32,100,-1.6,-1.8,-2.3,1.4
Jesús Sánchez,MIA,125,402,14,43,52,3,9.50%,26.60%,0.197,0.321,0.253,0.327,0.45,0.334,0.354,109,-2,2.2,-2.4,1.3
Evan Carter,TEX,23,75,5,15,12,3,16.00%,32.00%,0.339,0.412,0.306,0.413,0.645,0.435,0.339,180,0.2,7.4,3.3,1.3
Jarred Kelenic,SEA,105,416,11,44,49,13,9.90%,31.70%,0.167,0.359,0.253,0.327,0.419,0.321,0.333,108,0.4,4.2,-5.2,1.3
Andrew McCutchen,PIT,112,473,12,55,43,11,15.90%,21.10%,0.141,0.312,0.256,0.378,0.397,0.345,0.351,115,-1.7,7.2,-10.8,1.2
Donovan Solano,MIN,134,450,5,43,38,0,8.90%,22.20%,0.109,0.366,0.282,0.369,0.391,0.338,0.349,116,-2.7,6.2,-9.1,1.2
Yoán Moncada,CHW,92,357,11,39,40,1,5.60%,30.00%,0.165,0.35,0.26,0.305,0.425,0.315,0.317,98,-0.1,-0.8,1,1.2
Jonathan India,CIN,119,529,17,78,61,14,9.80%,20.60%,0.163,0.281,0.244,0.338,0.407,0.327,0.339,99,-0.4,-0.8,-5,1.2
Stone Garrett,WSN,89,271,9,40,40,3,9.60%,30.30%,0.188,0.365,0.269,0.343,0.457,0.344,0.34,115,0.5,5.6,-2.6,1.2
Esteury Ruiz,OAK,132,497,5,47,47,67,4.00%,19.90%,0.091,0.315,0.254,0.309,0.345,0.29,0.273,86,9.2,1.1,-5.8,1.2
Justin Turner,BOS,146,626,23,86,96,4,8.10%,17.60%,0.179,0.304,0.276,0.345,0.455,0.346,0.336,114,-3.5,7.4,-16.6,1.2
Zach McKinstry,DET,148,518,9,60,35,16,8.50%,21.80%,0.121,0.284,0.231,0.302,0.351,0.289,0.311,81,1.7,-10,4.3,1.2
Matt Vierling,DET,134,530,10,63,44,6,8.30%,21.10%,0.127,0.321,0.261,0.329,0.388,0.315,0.323,99,-0.7,-1.4,-4.7,1.2
Ryan McMahon,COL,152,627,23,80,70,5,10.80%,31.60%,0.191,0.326,0.24,0.322,0.431,0.325,0.333,88,-5.9,-15.2,5.8,1.2
Blake Perkins,MIL,67,168,4,28,20,5,13.70%,27.40%,0.133,0.29,0.217,0.325,0.35,0.303,0.28,88,2.1,-0.3,6.4,1.2
Elvis Andrus,CHW,112,406,6,39,44,12,6.20%,17.50%,0.107,0.294,0.251,0.304,0.358,0.29,0.267,81,0.9,-8.3,6,1.1
Carlos Correa,MIN,135,580,18,60,65,0,10.20%,22.60%,0.169,0.272,0.23,0.312,0.399,0.309,0.329,96,-9.2,-11.8,3.5,1.1
Josh Rojas,2 Tms,105,350,4,47,40,12,7.70%,23.10%,0.092,0.313,0.245,0.303,0.338,0.284,0.276,78,5,-4.7,4.1,1.1
Dairon Blanco,KCR,69,138,3,19,18,24,7.20%,23.90%,0.194,0.33,0.258,0.324,0.452,0.333,0.304,108,2.2,3.4,3.2,1.1
Michael Conforto,SFG,125,470,15,58,58,4,11.30%,22.60%,0.145,0.284,0.239,0.334,0.384,0.315,0.33,100,0.6,0.6,-5.3,1.1
Victor Caratini,MIL,62,226,7,23,25,1,8.40%,19.90%,0.124,0.296,0.259,0.327,0.383,0.312,0.306,94,-3.3,-4.9,8.5,1.1
Kyle Isbel,KCR,91,313,5,45,34,7,5.40%,18.80%,0.14,0.283,0.24,0.282,0.38,0.286,0.286,75,4.2,-5.1,5.7,1.1
Joey Wiemer,MIL,132,410,13,48,42,11,8.80%,28.30%,0.158,0.258,0.204,0.283,0.362,0.284,0.293,75,0.9,-11.8,8.8,1.1
Alec Bohm,PHI,145,611,20,74,97,4,6.90%,15.40%,0.163,0.296,0.274,0.327,0.437,0.329,0.342,105,-7.2,-3.1,-6.8,1.1
Jason Delay,PIT,70,187,1,20,18,0,7.50%,23.50%,0.096,0.333,0.251,0.319,0.347,0.296,0.266,82,-1,-5.1,9.5,1.1
Jordan Westburg,BAL,68,228,3,26,23,4,7.00%,24.60%,0.144,0.336,0.26,0.311,0.404,0.309,0.314,97,0.8,0.1,3,1.1
Luis Campusano,SDP,49,174,7,27,30,0,4.00%,12.10%,0.172,0.331,0.319,0.356,0.491,0.364,0.348,134,-2.2,5.2,-0.3,1.1
Zach Neto,LAA,84,329,9,38,34,5,6.10%,23.40%,0.152,0.272,0.225,0.308,0.377,0.302,0.314,89,-0.4,-4.9,4.5,1.1
Nicky Lopez,2 Tms,94,262,1,32,25,6,9.90%,15.30%,0.076,0.276,0.231,0.326,0.307,0.288,0.288,77,0.3,-7.1,8.9,1.1
DJ LeMahieu,NYY,136,562,15,55,44,2,10.70%,22.20%,0.147,0.295,0.243,0.327,0.39,0.315,0.32,101,-7,-6.3,-2.2,1.1
Harrison Bader,2 Tms,98,344,7,44,40,20,4.90%,17.20%,0.116,0.261,0.232,0.274,0.348,0.271,0.294,70,4.4,-8.1,6.9,1.1
Jake Cronenworth,SDP,127,522,10,54,48,6,8.80%,18.60%,0.148,0.267,0.229,0.312,0.378,0.301,0.304,92,3.2,-1.9,-5.4,1
Travis Jankowski,TEX,107,287,1,34,30,19,12.20%,14.60%,0.069,0.311,0.263,0.357,0.332,0.312,0.303,95,0.4,-1.3,2,1
Aaron Hicks,2 Tms,93,312,8,44,36,6,13.50%,22.10%,0.13,0.311,0.253,0.353,0.383,0.326,0.284,109,3.2,6.7,-6.9,1
Cavan Biggio,TOR,111,338,9,54,40,5,11.80%,26.00%,0.135,0.304,0.235,0.34,0.37,0.318,0.318,103,2.2,3.3,-4.4,1
Parker Meadows,DET,37,145,3,19,13,8,11.70%,25.50%,0.136,0.302,0.232,0.331,0.368,0.308,0.324,94,3.5,2.5,2.7,1
Vladimir Guerrero Jr.,TOR,156,682,26,78,94,5,9.80%,14.70%,0.179,0.277,0.264,0.345,0.444,0.34,0.374,118,-7.1,7.5,-20.8,1
Ramón Laureano,2 Tms,105,404,9,46,35,12,8.20%,28.20%,0.147,0.301,0.224,0.304,0.371,0.298,0.306,91,-1,-5.3,1.4,1
Taylor Walls,TBR,99,349,8,50,36,22,12.60%,26.40%,0.132,0.261,0.201,0.305,0.333,0.287,0.278,85,6.5,0.1,-2.2,1
Nick Castellanos,PHI,157,671,29,79,106,11,5.40%,27.60%,0.204,0.337,0.272,0.311,0.476,0.335,0.323,109,-4.7,2.7,-15.9,1
Yan Gomes,CHC,116,419,10,44,63,1,5.00%,19.30%,0.141,0.309,0.267,0.315,0.408,0.312,0.317,95,-1.7,-4.2,-0.5,1
Christian Vázquez,MIN,102,355,6,34,32,1,7.00%,23.10%,0.095,0.279,0.223,0.28,0.318,0.264,0.265,65,-4.4,-19.1,16.6,1
Austin Slater,SFG,89,207,5,24,20,2,9.70%,28.00%,0.13,0.369,0.27,0.348,0.4,0.33,0.337,110,0.1,2.7,-0.3,0.9
Ezequiel Duran,TEX,122,439,14,55,46,8,5.20%,27.30%,0.167,0.358,0.276,0.324,0.443,0.33,0.318,107,-3.8,0.1,-5.7,0.9
Nick Madrigal,CHC,92,294,2,34,28,10,3.40%,8.20%,0.089,0.283,0.263,0.311,0.352,0.294,0.294,83,-1.5,-7.7,7.1,0.9
Owen Miller,MIL,90,314,5,29,27,13,5.40%,19.40%,0.11,0.31,0.261,0.303,0.371,0.292,0.287,81,1.8,-5.7,4.3,0.9
Travis d'Arnaud,ATL,74,292,11,31,39,0,7.20%,22.90%,0.172,0.258,0.225,0.288,0.397,0.297,0.33,83,-1.1,-7.2,6.4,0.9
Cade Marlowe,SEA,34,100,3,14,11,4,12.00%,33.00%,0.182,0.346,0.239,0.33,0.42,0.327,0.276,112,1,2.4,3.4,0.9
Anthony Rizzo,NYY,99,421,12,45,41,0,8.30%,23.00%,0.134,0.298,0.244,0.328,0.378,0.312,0.319,100,-3.6,-3.8,-1.5,0.9
Edmundo Sosa,PHI,104,300,10,34,30,4,2.70%,24.70%,0.176,0.306,0.251,0.293,0.427,0.309,0.298,92,0,-3,1.7,0.9
Akil Baddoo,DET,112,357,11,40,34,14,11.80%,24.90%,0.154,0.268,0.218,0.31,0.372,0.299,0.301,88,2.9,-2.2,-1,0.9
Brenton Doyle,COL,126,431,10,48,48,22,5.10%,35.00%,0.14,0.295,0.203,0.25,0.343,0.257,0.264,43,3,-27.6,21.6,0.9
Jose Trevino,NYY,55,168,4,15,15,0,4.80%,13.10%,0.102,0.221,0.21,0.257,0.312,0.252,0.282,58,-1.5,-10,12.9,0.9
Tyrone Taylor,MIL,81,243,10,36,35,9,3.30%,22.60%,0.212,0.263,0.234,0.267,0.446,0.302,0.307,88,1.4,-2.3,2.5,0.8
Ramón Urías,BAL,116,396,4,45,42,3,6.80%,25.50%,0.111,0.355,0.264,0.328,0.375,0.31,0.281,99,0.7,0,-5.1,0.8
Charlie Blackmon,COL,96,413,8,57,40,4,9.40%,13.30%,0.162,0.307,0.279,0.363,0.44,0.35,0.339,105,-1.8,0.6,-6.3,0.8
Drew Waters,KCR,98,337,8,40,32,16,8.00%,31.80%,0.149,0.321,0.228,0.3,0.377,0.296,0.316,82,1.8,-5.5,2.2,0.8
Tyler O'Neill,STL,72,266,9,27,21,5,10.50%,25.20%,0.172,0.284,0.231,0.312,0.403,0.313,0.338,97,-0.8,-1.7,0.8,0.8
Javier Báez,DET,136,547,9,58,59,12,4.40%,22.90%,0.104,0.274,0.222,0.267,0.325,0.261,0.284,61,2.3,-23,12.5,0.8
Alex Kirilloff,MIN,88,319,11,35,41,1,8.80%,25.10%,0.174,0.337,0.27,0.348,0.445,0.343,0.333,120,0.8,8.4,-11.2,0.8
Austin Hedges,2 Tms,82,212,1,14,16,1,5.20%,22.20%,0.043,0.236,0.184,0.234,0.227,0.209,0.246,24,-0.3,-20.2,20.7,0.8
Tom Murphy,SEA,47,159,8,19,17,0,6.30%,27.70%,0.248,0.358,0.29,0.335,0.538,0.367,0.352,140,-1.6,6.1,-3.9,0.8
Patrick Wisdom,CHC,97,302,23,43,46,4,9.90%,36.80%,0.295,0.237,0.205,0.289,0.5,0.333,0.339,109,0.3,3.8,-6.7,0.7
Will Brennan,CLE,138,455,5,41,41,13,3.50%,12.50%,0.09,0.296,0.266,0.299,0.356,0.285,0.301,81,1.1,-9.4,1.3,0.7
Garrett Hampson,MIA,98,252,3,30,23,5,9.10%,26.60%,0.104,0.379,0.276,0.349,0.38,0.323,0.295,101,1.8,2.1,-3.3,0.7
Nelson Velázquez,2 Tms,53,179,17,35,34,0,7.80%,28.50%,0.352,0.221,0.235,0.302,0.586,0.369,0.378,132,0.2,7.2,-5.9,0.7
Stuart Fairchild,CIN,97,255,5,34,28,10,9.80%,27.10%,0.16,0.306,0.228,0.321,0.388,0.312,0.315,89,2.3,-1.1,-0.3,0.7
Joey Gallo,MIN,111,332,21,39,40,1,14.50%,42.80%,0.262,0.244,0.177,0.301,0.44,0.32,0.302,104,1,2.5,-6.5,0.7
Shea Langeliers,OAK,135,490,22,52,63,3,6.90%,29.20%,0.208,0.246,0.205,0.268,0.413,0.29,0.303,87,-2.3,-10,0.6,0.7
DJ Stewart,NYM,58,185,11,21,26,1,8.10%,30.30%,0.263,0.298,0.244,0.333,0.506,0.358,0.34,130,-0.2,6.6,-5.7,0.7
Byron Buxton,MIN,85,347,17,49,42,9,10.10%,31.40%,0.23,0.253,0.207,0.294,0.438,0.311,0.32,98,4.8,4,-8.6,0.7
Noelvi Marte,CIN,35,123,3,15,15,6,6.50%,20.30%,0.14,0.384,0.316,0.366,0.456,0.357,0.342,120,0.9,3.9,-1,0.7
Endy Rodríguez,PIT,57,204,3,27,13,0,8.30%,24.00%,0.108,0.281,0.22,0.284,0.328,0.271,0.293,65,0.2,-8.5,8.6,0.7
Blake Sabol,SFG,110,344,13,36,44,4,7.00%,34.00%,0.158,0.33,0.235,0.301,0.394,0.303,0.282,92,1.1,-2.2,-2.5,0.7
Jacob Young,WSN,33,121,0,9,12,13,8.30%,18.20%,0.084,0.318,0.252,0.322,0.336,0.294,0.273,82,3.8,1.1,1.7,0.7
Dylan Moore,SEA,67,165,7,18,19,7,9.70%,33.90%,0.221,0.28,0.207,0.303,0.428,0.317,0.319,105,0.6,1.6,-0.6,0.7
René Pinto,TBR,39,105,6,10,16,0,1.90%,32.40%,0.204,0.317,0.252,0.267,0.456,0.306,0.329,98,-0.7,-1,4,0.7
Randal Grichuk,2 Tms,118,471,16,65,44,2,6.20%,20.40%,0.191,0.309,0.267,0.321,0.459,0.333,0.321,100,-2.9,-2.6,-6.9,0.7
Ernie Clement,TOR,30,52,1,7,10,1,1.90%,7.70%,0.12,0.391,0.38,0.385,0.5,0.378,0.333,144,0.8,3.5,1.2,0.6
Dominic Fletcher,ARI,28,102,2,10,14,0,6.90%,21.60%,0.14,0.377,0.301,0.35,0.441,0.34,0.263,113,-0.7,0.8,2.1,0.6
Masataka Yoshida,BOS,140,580,15,71,72,8,5.90%,14.00%,0.156,0.316,0.289,0.338,0.445,0.339,0.324,109,-5,1.6,-14.9,0.6
Mike Ford,SEA,84,251,16,32,34,0,9.60%,32.30%,0.247,0.276,0.228,0.323,0.475,0.343,0.312,123,-2.2,4.7,-6.9,0.6
Joc Pederson,SFG,121,425,15,59,51,0,13.40%,20.90%,0.182,0.268,0.235,0.348,0.416,0.331,0.368,111,-1.2,4.4,-12.6,0.6
Hunter Renfroe,2 Tms,140,548,20,60,60,0,8.00%,22.80%,0.183,0.27,0.233,0.297,0.416,0.308,0.289,92,-1.5,-6.6,-6,0.6
Christian Bethancourt,TBR,104,332,11,49,33,1,3.90%,27.40%,0.156,0.278,0.225,0.254,0.381,0.271,0.266,74,-0.9,-11.4,6.1,0.6
Miguel Amaya,CHC,53,156,5,17,18,0,7.70%,25.60%,0.145,0.264,0.214,0.329,0.359,0.31,0.33,94,0,-1.2,1.6,0.6
