,edge,grade,money,value,is_best,bet_quality,implied_value,projected_value,ou,book_name,display_name,full_name,prop
336,0.037918613634276,C,-155,5.5,True,5.0,4.796437636026484,4.83,under,Best Odds,Rays,Aaron Civale,strikeouts
337,-0.100307205434632,F,120,5.5,False,4.0,5.030958424017656,4.83,over,Best Odds,Rays,Aaron Civale,strikeouts
344,0.030377135504563,C,-160,5.5,True,5.0,4.796437636026484,4.83,under,BetMGM NJ,Rays,Aaron Civale,strikeouts
345,-0.100307205434632,F,120,5.5,False,4.0,5.030958424017656,4.83,over,BetMGM NJ,Rays,Aaron Civale,strikeouts
342,0.031862136989564,C,-159,5.5,True,5.0,4.796437636026484,4.83,under,BetRivers NJ,Rays,Aaron Civale,strikeouts
343,-0.100307205434632,F,120,5.5,False,4.0,5.030958424017656,4.83,over,BetRivers NJ,Rays,Aaron Civale,strikeouts
350,0.017508962785089,C-,-169,5.5,True,4.0,4.561916848035312,4.83,under,Caesars NJ,Rays,Aaron Civale,strikeouts
351,-0.094192244162721,F,123,5.5,False,4.0,5.030958424017656,4.83,over,Caesars NJ,Rays,Aaron Civale,strikeouts
338,0.045761750889178,C,-150,5.5,True,5.0,4.796437636026484,4.83,under,DK NJ,Rays,Aaron Civale,strikeouts
339,-0.100307205434632,F,120,5.5,False,4.0,5.030958424017656,4.83,over,DK NJ,Rays,Aaron Civale,strikeouts
340,0.04346208354836,C,134,4.5,True,5.0,4.924264068711928,4.83,under,FanDuel NJ,Rays,Aaron Civale,strikeouts
341,-0.103165452075257,F,-172,4.5,False,3.0,5.348528137423856,4.83,over,FanDuel NJ,Rays,Aaron Civale,strikeouts
346,0.030377135504563,C,-160,5.5,True,5.0,4.796437636026484,4.83,under,PointsBet NJ,Rays,Aaron Civale,strikeouts
347,-0.100307205434632,F,120,5.5,False,4.0,5.030958424017656,4.83,over,PointsBet NJ,Rays,Aaron Civale,strikeouts
348,0.071293665782795,C+,-135,5.5,True,6.0,5.030958424017656,4.83,under,bet365 NJ,Rays,Aaron Civale,strikeouts
349,-0.133566628937958,F,105,5.5,False,3.0,5.265479212008828,4.83,over,bet365 NJ,Rays,Aaron Civale,strikeouts
135,0.014348509443478,C-,-148,6.5,True,4.0,5.735147072961083,5.97,under,Best Odds,Phillies,Aaron Nola,strikeouts
134,-0.074085665954828,F,116,6.5,False,4.0,6.245049024320361,5.97,over,Best Odds,Phillies,Aaron Nola,strikeouts
142,0.019285968297987,C-,-145,6.5,True,4.0,5.735147072961083,5.97,under,BetMGM NJ,Phillies,Aaron Nola,strikeouts
143,-0.087313179182341,F,110,6.5,False,4.0,6.245049024320361,5.97,over,BetMGM NJ,Phillies,Aaron Nola,strikeouts
140,0.029532744832869,C,-139,6.5,True,4.0,5.735147072961083,5.97,under,BetRivers NJ,Phillies,Aaron Nola,strikeouts
141,-0.098927581040645,F,105,6.5,False,4.0,6.245049024320361,5.97,over,BetRivers NJ,Phillies,Aaron Nola,strikeouts
149,-0.012937447384075,D+,-166,6.5,True,3.0,5.480196097281444,5.97,under,Caesars NJ,Phillies,Aaron Nola,strikeouts
148,-0.065668157537319,F,120,6.5,False,5.0,5.990098048640722,5.97,over,Caesars NJ,Phillies,Aaron Nola,strikeouts
137,0.011122702991865,C-,-150,6.5,True,4.0,5.735147072961083,5.97,under,DK NJ,Phillies,Aaron Nola,strikeouts
136,-0.065668157537319,F,120,6.5,False,5.0,5.990098048640722,5.97,over,DK NJ,Phillies,Aaron Nola,strikeouts
138,0.014348509443478,C-,-148,6.5,True,4.0,5.735147072961083,5.97,under,FanDuel NJ,Phillies,Aaron Nola,strikeouts
139,-0.074085665954828,F,116,6.5,False,4.0,6.245049024320361,5.97,over,FanDuel NJ,Phillies,Aaron Nola,strikeouts
144,-0.00426191239275,D+,-160,6.5,True,4.0,5.735147072961083,5.97,under,PointsBet NJ,Phillies,Aaron Nola,strikeouts
145,-0.065668157537319,F,120,6.5,False,5.0,5.990098048640722,5.97,over,PointsBet NJ,Phillies,Aaron Nola,strikeouts
146,0.055567147436309,C+,-125,6.5,True,5.0,5.990098048640722,5.97,under,bet365 NJ,Phillies,Aaron Nola,strikeouts
147,-0.123317824943085,F,-105,6.5,False,2.0,6.754950975679639,5.97,over,bet365 NJ,Phillies,Aaron Nola,strikeouts
181,-0.015861811962677,D+,115,3.5,True,4.0,3.687082869338697,3.92,under,Best Odds,Mets,Adrian Houser,strikeouts
180,-0.057097604361992,F,-155,3.5,False,4.0,4.061248608016091,3.92,over,Best Odds,Mets,Adrian Houser,strikeouts
188,-0.015861811962677,D+,115,3.5,True,4.0,3.687082869338697,3.92,under,BetMGM NJ,Mets,Adrian Houser,strikeouts
189,-0.057097604361992,F,-155,3.5,False,4.0,4.061248608016091,3.92,over,BetMGM NJ,Mets,Adrian Houser,strikeouts
186,-0.030780789602447,D,120,3.5,True,4.0,3.874165738677394,4.05,under,BetRivers NJ,Mets,Adrian Houser,strikeouts
187,-0.037664278842621,D,-159,3.5,False,5.0,4.061248608016091,4.05,over,BetRivers NJ,Mets,Adrian Houser,strikeouts
194,-0.036031326611222,D,-142,3.5,True,4.0,4.061248608016091,3.92,over,Caesars NJ,Mets,Adrian Houser,strikeouts
195,-0.040941611324282,D,104,3.5,False,4.0,3.687082869338697,3.92,under,Caesars NJ,Mets,Adrian Houser,strikeouts
182,0.014471858411438,C-,130,3.5,True,5.0,3.874165738677394,3.92,under,DK NJ,Mets,Adrian Houser,strikeouts
183,-0.071895976541052,F,-165,3.5,False,3.0,4.248331477354788,3.92,over,DK NJ,Mets,Adrian Houser,strikeouts
184,-0.022663906485564,D+,124,3.5,True,4.0,3.874165738677394,4.05,under,FanDuel NJ,Mets,Adrian Houser,strikeouts
185,-0.036167765718201,D,-158,3.5,False,5.0,4.061248608016091,4.05,over,FanDuel NJ,Mets,Adrian Houser,strikeouts
191,-0.023764664943007,D+,-150,3.5,True,5.0,4.061248608016091,4.05,over,PointsBet NJ,Mets,Adrian Houser,strikeouts
190,-0.04135161412676,D,115,3.5,False,3.0,3.687082869338697,4.05,under,PointsBet NJ,Mets,Adrian Houser,strikeouts
192,-0.011017943752645,D+,130,3.5,True,4.0,3.874165738677394,4.05,under,bet365 NJ,Mets,Adrian Houser,strikeouts
193,-0.039149280327622,D,-160,3.5,False,5.0,4.061248608016091,4.05,over,bet365 NJ,Mets,Adrian Houser,strikeouts
316,0.015415644797795,C-,-118,3.5,True,5.0,3.874165738677394,3.95,over,Best Odds,Rockies,Cal Quantrill,strikeouts
317,-0.075930817698289,F,-108,3.5,False,1.0,3.312917130661303,3.95,under,Best Odds,Rockies,Cal Quantrill,strikeouts
324,-0.008517342836828,D+,-130,3.5,True,5.0,3.874165738677394,3.95,over,BetMGM NJ,Rockies,Cal Quantrill,strikeouts
325,-0.05670004846752,F,100,3.5,False,2.0,3.5,3.95,under,BetMGM NJ,Rockies,Cal Quantrill,strikeouts
323,0.021816327537288,C-,-115,3.5,True,7.0,3.687082869338697,3.95,over,BetRivers NJ,Rockies,Cal Quantrill,strikeouts
322,-0.091583769397752,F,-115,3.5,False,1.0,3.312917130661303,3.95,under,BetRivers NJ,Rockies,Cal Quantrill,strikeouts
331,-0.030597649217386,D,100,3.5,True,3.0,3.5,3.82,under,Caesars NJ,Rockies,Cal Quantrill,strikeouts
330,-0.047461422512572,D,-137,3.5,False,5.0,3.874165738677394,3.82,over,Caesars NJ,Rockies,Cal Quantrill,strikeouts
319,-0.004286071712846,D+,-115,3.5,True,6.0,3.687082869338697,3.82,over,DK NJ,Rockies,Cal Quantrill,strikeouts
318,-0.05440717302691,F,-110,3.5,False,1.0,3.312917130661303,3.82,under,DK NJ,Rockies,Cal Quantrill,strikeouts
321,0.015415644797795,C-,-118,3.5,True,5.0,3.874165738677394,3.95,over,FanDuel NJ,Rockies,Cal Quantrill,strikeouts
320,-0.075930817698289,F,-108,3.5,False,1.0,3.312917130661303,3.95,under,FanDuel NJ,Rockies,Cal Quantrill,strikeouts
327,0.021816327537288,C-,-115,3.5,True,7.0,3.687082869338697,3.95,over,PointsBet NJ,Rockies,Cal Quantrill,strikeouts
326,-0.091583769397752,F,-115,3.5,False,1.0,3.312917130661303,3.95,under,PointsBet NJ,Rockies,Cal Quantrill,strikeouts
329,0.001144492911964,C-,-125,3.5,True,5.0,3.874165738677394,3.95,over,bet365 NJ,Rockies,Cal Quantrill,strikeouts
328,-0.06889517041874,F,-105,3.5,False,1.0,3.312917130661303,3.95,under,bet365 NJ,Rockies,Cal Quantrill,strikeouts
79,0.030358587112148,C,118,4.5,True,6.0,4.924264068711928,4.73,under,Best Odds,Tigers,Casey Mize,strikeouts
78,-0.089074183442423,F,-150,4.5,False,3.0,5.136396103067892,4.73,over,Best Odds,Tigers,Casey Mize,strikeouts
87,0.044629738997979,C,125,4.5,True,6.0,4.924264068711928,4.73,under,BetMGM NJ,Tigers,Casey Mize,strikeouts
86,-0.111715692876385,F,-165,4.5,False,2.0,5.348528137423856,4.73,over,BetMGM NJ,Tigers,Casey Mize,strikeouts
84,0.012883707251947,C-,110,4.5,True,5.0,4.712132034355964,4.73,under,BetRivers NJ,Tigers,Casey Mize,strikeouts
85,-0.08584837699081,F,-148,4.5,False,3.0,5.136396103067892,4.73,over,BetRivers NJ,Tigers,Casey Mize,strikeouts
80,0.024558583965826,C-,125,4.5,True,5.0,4.924264068711928,4.84,under,DK NJ,Tigers,Casey Mize,strikeouts
81,-0.084387643794885,F,-160,4.5,False,4.0,5.136396103067892,4.84,over,DK NJ,Tigers,Casey Mize,strikeouts
82,0.030358587112148,C,118,4.5,True,6.0,4.924264068711928,4.73,under,FanDuel NJ,Tigers,Casey Mize,strikeouts
83,-0.089074183442423,F,-150,4.5,False,3.0,5.136396103067892,4.73,over,FanDuel NJ,Tigers,Casey Mize,strikeouts
88,0.034528728896969,C,120,4.5,True,6.0,4.924264068711928,4.73,under,PointsBet NJ,Tigers,Casey Mize,strikeouts
89,-0.104458798827038,F,-160,4.5,False,3.0,5.136396103067892,4.73,over,PointsBet NJ,Tigers,Casey Mize,strikeouts
90,0.072407516775756,C+,140,4.5,True,7.0,5.136396103067892,4.73,under,bet365 NJ,Tigers,Casey Mize,strikeouts
91,-0.118703813072053,F,-170,4.5,False,2.0,5.348528137423856,4.73,over,bet365 NJ,Tigers,Casey Mize,strikeouts
300,0.0007204553305,C-,-110,4.5,True,4.0,4.287867965644036,4.54,under,Best Odds,Blue Jays,Chris Bassitt,strikeouts
301,-0.089747370444372,F,-130,4.5,False,3.0,4.924264068711928,4.54,over,Best Odds,Blue Jays,Chris Bassitt,strikeouts
308,0.0007204553305,C-,-110,4.5,True,4.0,4.287867965644036,4.54,under,BetMGM NJ,Blue Jays,Chris Bassitt,strikeouts
309,-0.069984524594569,F,-120,4.5,False,3.0,4.924264068711928,4.54,over,BetMGM NJ,Blue Jays,Chris Bassitt,strikeouts
306,0.009966872343908,C-,-106,4.5,True,4.0,4.287867965644036,4.54,under,BetRivers NJ,Blue Jays,Chris Bassitt,strikeouts
307,-0.084001344778791,F,-127,4.5,False,3.0,4.924264068711928,4.54,over,BetRivers NJ,Blue Jays,Chris Bassitt,strikeouts
314,,,-133,4.5,,,,,over,Caesars NJ,Blue Jays,Chris Bassitt,strikeouts
315,,,-103,4.5,,,,,under,Caesars NJ,Blue Jays,Chris Bassitt,strikeouts
302,0.050003439673511,C+,105,4.5,True,6.0,4.712132034355964,4.47,under,DK NJ,Blue Jays,Chris Bassitt,strikeouts
303,-0.103025709026639,F,-130,4.5,False,3.0,4.924264068711928,4.47,over,DK NJ,Blue Jays,Chris Bassitt,strikeouts
304,0.024529979140024,C-,-100,4.5,True,5.0,4.5,4.54,under,FanDuel NJ,Blue Jays,Chris Bassitt,strikeouts
305,-0.085933487911954,F,-128,4.5,False,3.0,4.924264068711928,4.54,over,FanDuel NJ,Blue Jays,Chris Bassitt,strikeouts
310,0.024529979140024,C-,-100,4.5,True,5.0,4.5,4.54,under,PointsBet NJ,Blue Jays,Chris Bassitt,strikeouts
311,-0.089747370444372,F,-130,4.5,False,3.0,4.924264068711928,4.54,over,PointsBet NJ,Blue Jays,Chris Bassitt,strikeouts
312,,,120,4.5,,,,,under,bet365 NJ,Blue Jays,Chris Bassitt,strikeouts
313,,,-150,4.5,,,,,over,bet365 NJ,Blue Jays,Chris Bassitt,strikeouts
255,-0.02471414723104,D+,-128,3.5,True,5.0,3.874165738677394,3.85,over,Best Odds,Orioles,Cole Irvin,strikeouts
254,-0.03668936154089,D,-100,3.5,False,3.0,3.5,3.85,under,Best Odds,Orioles,Cole Irvin,strikeouts
261,0.02454940407398,C-,-135,3.5,True,7.0,3.874165738677394,4.17,over,BetMGM NJ,Orioles,Cole Irvin,strikeouts
260,-0.086822367229143,F,105,3.5,False,2.0,3.687082869338697,4.17,under,BetMGM NJ,Orioles,Cole Irvin,strikeouts
266,0.020958417450405,C-,-137,3.5,True,7.0,3.874165738677394,4.17,over,Caesars NJ,Orioles,Cole Irvin,strikeouts
267,-0.099017489180363,F,100,3.5,False,1.0,3.5,4.17,under,Caesars NJ,Orioles,Cole Irvin,strikeouts
257,-0.008765183913655,D+,-120,3.5,True,5.0,3.874165738677394,3.85,over,DK NJ,Orioles,Cole Irvin,strikeouts
256,-0.04888448349211,D,-105,3.5,False,1.0,3.312917130661303,3.85,under,DK NJ,Orioles,Cole Irvin,strikeouts
259,-0.02471414723104,D+,-128,3.5,True,5.0,3.874165738677394,3.85,over,FanDuel NJ,Orioles,Cole Irvin,strikeouts
258,-0.03668936154089,D,-100,3.5,False,3.0,3.5,3.85,under,FanDuel NJ,Orioles,Cole Irvin,strikeouts
263,-0.018866194014666,D+,-125,3.5,True,5.0,3.874165738677394,3.85,over,PointsBet NJ,Orioles,Cole Irvin,strikeouts
262,-0.04888448349211,D,-105,3.5,False,1.0,3.312917130661303,3.85,under,PointsBet NJ,Orioles,Cole Irvin,strikeouts
264,-0.02449423958967,D+,105,3.5,True,4.0,3.687082869338697,3.85,under,bet365 NJ,Orioles,Cole Irvin,strikeouts
265,-0.037778723565493,D,-135,3.5,False,5.0,3.874165738677394,3.85,over,bet365 NJ,Orioles,Cole Irvin,strikeouts
284,0.000161006250132,C-,135,4.5,True,6.0,4.075735931288072,4.28,over,Best Odds,Brewers,Colin Rea,strikeouts
285,-0.062056557507385,F,-175,4.5,False,1.0,3.651471862576144,4.28,under,Best Odds,Brewers,Colin Rea,strikeouts
293,0.000161006250132,C-,135,4.5,True,6.0,4.075735931288072,4.28,over,BetMGM NJ,Brewers,Colin Rea,strikeouts
292,-0.062056557507385,F,-175,4.5,False,1.0,3.651471862576144,4.28,under,BetMGM NJ,Brewers,Colin Rea,strikeouts
291,0.005524853916858,C-,138,4.5,True,7.0,3.863603896932108,4.28,over,BetRivers NJ,Brewers,Colin Rea,strikeouts
290,-0.076042571493399,F,-186,4.5,False,1.0,3.651471862576144,4.28,under,BetRivers NJ,Brewers,Colin Rea,strikeouts
299,0.030830401817512,C,136,4.5,True,7.0,4.075735931288072,4.43,over,Caesars NJ,Brewers,Colin Rea,strikeouts
298,-0.108538454131159,F,-189,4.5,False,0.0,3.651471862576144,4.43,under,Caesars NJ,Brewers,Colin Rea,strikeouts
287,0.029027300483217,C,135,4.5,True,7.0,4.075735931288072,4.43,over,DK NJ,Brewers,Colin Rea,strikeouts
286,-0.09092285174047,F,-175,4.5,False,0.0,3.651471862576144,4.43,under,DK NJ,Brewers,Colin Rea,strikeouts
289,-0.023618555233632,D+,-180,3.5,True,5.0,4.248331477354788,4.28,over,FanDuel NJ,Brewers,Colin Rea,strikeouts
288,-0.035905254290178,D,140,3.5,False,4.0,4.061248608016091,4.28,under,FanDuel NJ,Brewers,Colin Rea,strikeouts
295,-0.018751523300695,D+,125,4.5,True,6.0,4.075735931288072,4.28,over,PointsBet NJ,Brewers,Colin Rea,strikeouts
294,-0.048334430577711,D,-165,4.5,False,1.0,3.651471862576144,4.28,under,PointsBet NJ,Brewers,Colin Rea,strikeouts
296,-0.009026254477082,D+,-140,4.5,True,3.0,3.863603896932108,4.28,under,bet365 NJ,Brewers,Colin Rea,strikeouts
297,-0.050497555046727,F,110,4.5,False,5.0,4.287867965644036,4.28,over,bet365 NJ,Brewers,Colin Rea,strikeouts
33,0.042177553884574,C,110,5.5,True,7.0,5.265479212008828,5.78,over,Best Odds,Astros,Cristian Javier,strikeouts
32,-0.110204764768928,F,-145,5.5,False,0.0,4.796437636026484,5.78,under,Best Odds,Astros,Cristian Javier,strikeouts
35,0.042177553884574,C,110,5.5,True,7.0,5.265479212008828,5.78,over,BetMGM NJ,Astros,Cristian Javier,strikeouts
34,-0.110204764768928,F,-145,5.5,False,0.0,4.796437636026484,5.78,under,BetMGM NJ,Astros,Cristian Javier,strikeouts
109,0.023113840747299,C-,-165,3.5,True,6.0,4.248331477354788,4.43,over,Best Odds,Braves,Darius Vines,strikeouts
108,-0.080537958876913,F,130,3.5,False,2.0,3.874165738677394,4.43,under,Best Odds,Braves,Darius Vines,strikeouts
115,0.023113840747299,C-,-165,3.5,True,6.0,4.248331477354788,4.43,over,BetMGM NJ,Braves,Darius Vines,strikeouts
114,-0.080537958876913,F,130,3.5,False,2.0,3.874165738677394,4.43,under,BetMGM NJ,Braves,Darius Vines,strikeouts
120,,,-166,3.5,,,,,over,Caesars NJ,Braves,Darius Vines,strikeouts
121,,,120,3.5,,,,,under,Caesars NJ,Braves,Darius Vines,strikeouts
110,0.023113840747299,C-,-165,3.5,True,6.0,4.248331477354788,4.43,over,DK NJ,Braves,Darius Vines,strikeouts
111,-0.080537958876913,F,130,3.5,False,2.0,3.874165738677394,4.43,under,DK NJ,Braves,Darius Vines,strikeouts
113,1.376083138e-05,C-,120,4.5,True,7.0,4.075735931288072,4.43,over,FanDuel NJ,Braves,Darius Vines,strikeouts
112,-0.057733818551437,F,-152,4.5,False,2.0,3.863603896932108,4.43,under,FanDuel NJ,Braves,Darius Vines,strikeouts
117,0.019776606681182,C-,130,4.5,True,7.0,4.075735931288072,4.43,over,PointsBet NJ,Braves,Darius Vines,strikeouts
116,-0.084188845006464,F,-170,4.5,False,0.0,3.651471862576144,4.43,under,PointsBet NJ,Braves,Darius Vines,strikeouts
119,0.023113840747299,C-,-165,3.5,True,6.0,4.248331477354788,4.43,over,bet365 NJ,Braves,Darius Vines,strikeouts
118,-0.071287265074878,F,135,3.5,False,2.0,3.874165738677394,4.43,under,bet365 NJ,Braves,Darius Vines,strikeouts
51,0.030411901596764,C,120,5.5,True,6.0,5.969041575982344,5.76,under,Best Odds,Marlins,Edward Cabrera,strikeouts
50,-0.091256568740643,F,-154,5.5,False,3.0,6.203562363973516,5.76,over,Best Odds,Marlins,Edward Cabrera,strikeouts
54,0.036947122223455,C,-155,6.5,True,5.0,5.735147072961083,5.76,under,BetMGM NJ,Marlins,Edward Cabrera,strikeouts
55,-0.109906538548124,F,115,6.5,False,3.0,6.245049024320361,5.76,over,BetMGM NJ,Marlins,Edward Cabrera,strikeouts
